14646,9/8/11 11:28,73,280206.0200000004
18102,9/28/11 16:17,60,259657.29999999993
17450,9/5/11 13:52,46,194550.79000000007
16446,5/18/11 9:52,2,168472.5
14911,9/7/11 14:13,201,143825.05999999907
12415,9/1/11 13:51,21,124914.52999999977
14156,9/7/11 16:00,55,117379.62999999957
17511,9/7/11 11:41,31,91062.37999999992
16029,9/7/11 9:45,63,81024.84000000007
12346,1/18/11 10:01,1,77183.6
16684,7/29/11 15:12,28,66653.55999999997
14096,9/9/11 15:17,17,65164.78999999952
13694,9/29/11 10:22,50,65039.62000000002
15311,9/6/11 14:38,91,60767.900000000154
13089,9/30/11 10:19,97,58825.83000000004
17949,9/7/11 14:30,45,58510.48
15769,9/13/11 9:33,26,56252.72000000001
15061,9/27/11 14:07,48,54534.14
14298,9/28/11 13:32,44,51527.300000000156
14088,8/3/11 11:21,13,50491.81000000002
